Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type
20th IFSO World Congress;Obesity Surgery;;25;1;10.1007/s11695-015-1750-3;;2015;http://link.springer.com/article/10.1007/s11695-015-1750-3;Article
3D video representation and design for ubiquitous environments;Multimedia Tools and Applications;;67;1;10.1007/s11042-013-1540-7;Xingang LiuShu-Ching ChenJianhua MaLaurence T. Yang;2013;http://link.springer.com/article/10.1007/s11042-013-1540-7;Article
3D-Monitoring Big Geo Data on a seaport infrastructure based on FIWARE;Journal of Geographical Systems;;;;10.1007/s10109-018-0269-2;Pablo FernándezJosé Pablo SuárezAgustín TrujilloConrado DomínguezJosé Miguel Santana;2018;http://link.springer.com/article/10.1007/s10109-018-0269-2;Article
3LConOnt: a three-level ontology for context modelling in context-aware computing;Software & Systems Modeling;;;;10.1007/s10270-017-0611-z;Oscar CabreraXavier FranchJordi Marco;2017;http://link.springer.com/article/10.1007/s10270-017-0611-z;Article
4G LTE network access system and pricing model for IoT MVNOs: spreading smart tourism;Multimedia Tools and Applications;;76;19;10.1007/s11042-016-3369-3;Jeongeun ByunByung Woon KimChang Youl KoJeoung-Woo Byun;2017;http://link.springer.com/article/10.1007/s11042-016-3369-3;Article
A 3D simulation of river basin boundary based on the change of water-level using open government data in South Korea;Spatial Information Research;;26;2;10.1007/s41324-017-0162-y;Minsun YangJongwook AhnDongbin Shin;2018;http://link.springer.com/article/10.1007/s41324-017-0162-y;Article
A Blockchain Research Framework;Business & Information Systems Engineering;;59;6;10.1007/s12599-017-0506-0;Dr. Marten RisiusDr. Kai Spohrer;2017;http://link.springer.com/article/10.1007/s12599-017-0506-0;Article
A Blockchain-Based Approach Towards Overcoming Financial Fraud in Public Sector Services;Business & Information Systems Engineering;;59;6;10.1007/s12599-017-0502-4;Hissu HyvärinenDr. Marten RisiusGustav Friis;2017;http://link.springer.com/article/10.1007/s12599-017-0502-4;Article
A Channel Estimation and Data Transmission Scheme Utilizing Superposition Modulation for Cooperative Communication;Wireless Personal Communications;;98;1;10.1007/s11277-017-4932-6;Yeong-Seop AhnJung-In BaikHyoung-Kyu Song;2018;http://link.springer.com/article/10.1007/s11277-017-4932-6;Article
A Concept of Fuel Tank Calibration Process Automation Within IoT Infrastructure;MAPAN;;32;1;10.1007/s12647-016-0193-1;Mindaugas KnyvaVytautas KnyvaŽilvinas NakutisVytautas DumbravaMarius Saunoris;2017;http://link.springer.com/article/10.1007/s12647-016-0193-1;Article
A FCM cluster: cloud networking model for intelligent transportation in the city of Macau;Cluster Computing;;;;10.1007/s10586-017-1216-6;Zhiming CaiLianbing DengDaming LiXiang YaoDavid CoxHaoxiang Wang;2017;http://link.springer.com/article/10.1007/s10586-017-1216-6;Article
A Linked Democracy Approach for Regulating Public Health Data;Health and Technology;;7;4;10.1007/s12553-017-0191-5;Pompeu CasanovasDanuta MendelsonMarta Poblet;2017;http://link.springer.com/article/10.1007/s12553-017-0191-5;Article
A New Approach to Access Control in Cloud;Arabian Journal for Science and Engineering;;41;3;10.1007/s13369-015-1947-8;Mansura HabibaMd. Rafiqul IslamA. B. M. Shawkat AliMd. Zahidul Islam;2016;http://link.springer.com/article/10.1007/s13369-015-1947-8;Article
A New Object Searching Protocol for Multi-tag RFID;Wireless Personal Communications;;97;3;10.1007/s11277-017-4685-2;Subhasish DhalIndranil Sen Gupta;2017;http://link.springer.com/article/10.1007/s11277-017-4685-2;Article
A New Privacy Aware Payment Scheme for Wireless Charging of Electric Vehicles;Wireless Personal Communications;;92;3;10.1007/s11277-016-3589-x;Zeinab RezaeifarRasheed HussainSangjin KimHeekuck Oh;2017;http://link.springer.com/article/10.1007/s11277-016-3589-x;Article
A New Proposed the Internet of Things (IoT) Virtualization Framework Based on Sensor-as-a-Service Concept;Wireless Personal Communications;;97;1;10.1007/s11277-017-4580-x;Zainab Hassan AliHesham Arafat AliMahmoud Mohammed Badawy;2017;http://link.springer.com/article/10.1007/s11277-017-4580-x;Article
A Novel Human Computer Interaction Aware Algorithm to Minimize Energy Consumption;Wireless Personal Communications;;81;2;10.1007/s11277-014-2151-y;P. K. GuptaG. Singh;2015;http://link.springer.com/article/10.1007/s11277-014-2151-y;Article
A Review of RFID in Supply Chain Management: 2000–2015;Global Journal of Flexible Systems Management;;17;2;10.1007/s40171-016-0136-2;Ahmed MusaAl-Amin Abba Dabo;2016;http://link.springer.com/article/10.1007/s40171-016-0136-2;Article
A Scalable and Lightweight Grouping Proof Protocol for Internet of Things Applications;The Journal of Supercomputing;;74;1;10.1007/s11227-017-2106-7;Samad RostampourNasour BagheriMehdi HosseinzadehAhmad Khademzadeh;2018;http://link.springer.com/article/10.1007/s11227-017-2106-7;Article
A Smart Meter and Smart House Integrated to an IdM and Key-based Scheme for Providing Integral Security for a Smart Grid ICT;Mobile Networks and Applications;;;;10.1007/s11036-017-0960-4;Vilmar AbreuAltair SantinAlex XavierAlison LandoAdriano WitkovskiRafael RibeiroMaicon StihlerVoldi ZambenedettiIvan Chueiri;2017;http://link.springer.com/article/10.1007/s11036-017-0960-4;Article
A Survey of Verifiable Computation;Mobile Networks and Applications;;22;3;10.1007/s11036-017-0872-3;Xixun YuZheng YanAthanasios V. Vasilakos;2017;http://link.springer.com/article/10.1007/s11036-017-0872-3;Article
A TQCS-based service selection and scheduling strategy in cloud manufacturing;The International Journal of Advanced Manufacturing Technology;;82;01/abr;10.1007/s00170-015-7350-5;Yang CaoShilong WangLing KangYuan Gao;2016;http://link.springer.com/article/10.1007/s00170-015-7350-5;Article
A Trajectory Privacy Model for Radio-Frequency Identification System;Wireless Personal Communications;;90;3;10.1007/s11277-016-3381-y;Wei ZhangLongkai WuSanya LiuTao HuangYajun GuoChingfang Hsu;2016;http://link.springer.com/article/10.1007/s11277-016-3381-y;Article
A blockchain-based smart grid: towards sustainable local energy markets;Computer Science - Research and Development;;33;01/fev;10.1007/s00450-017-0360-9;Esther MengelkampBenedikt NotheisenCarolin BeerDavid DauerChristof Weinhardt;2018;http://link.springer.com/article/10.1007/s00450-017-0360-9;Article
A brief overview of intelligent mobility management for future wireless mobile networks;EURASIP Journal on Wireless Communications and Networking;;2017;1;10.1186/s13638-017-0972-6;Ilsun YouYuh-Shyan ChenSherali ZeadallyFei Song;2017;http://link.springer.com/article/10.1186/s13638-017-0972-6;Article
A comprehensive study of RPL and P2P-RPL routing protocols: Implementation, challenges and opportunities;Peer-to-Peer Networking and Applications;;10;5;10.1007/s12083-016-0475-y;Ming ZhaoArun KumarPeter Han Joo ChongRongxing Lu;2017;http://link.springer.com/article/10.1007/s12083-016-0475-y;Article
