<<<<<<< HEAD
STUDENTS 8
IN 6
MY 4
CLASS 1
ARE 3
A 7
DIVERSE 1
BUNCH 1
OF 5
LEARNERS 1
WHO 2
HAVE 2
PASSIONATE 1
LOVE 1
LEARNING 3
I 3
SERVE 1
UNDER 1
WIDE 1
UMBRELLA 1
NEEDS 1
EMOTIONALLY 1
ACADEMICALLY 1
AND 9
FINANCIALLY 1
OUR 5
SCHOOL 2
IS 1
FREE 1
BREAKFAST 1
LUNCH 1
YET 1
EAGER 1
TO 13
BE 2
SUCCESSFUL 1
THEY 3
COME 1
WITH 1
WILLINGNESS 1
LEARN 2
ENJOY 1
BEYOND 1
THE 7
MEANS 1
PAPER 1
PENCIL 1
ALLOWING 1
ADVANTAGES 1
HANDS 1
ON 2
PROBLEM 3
BASED 1
GIVES 1
THEM 3
FREEDOM 1
TAP 1
INTO 1
THEIR 3
SOLVING 1
ABILITIES 1
THAT 3
OFTEN 1
UNSEEN 1
INTANGIBLE 1
MOST 1
ASSESSMENTS 1
THESE 2
BEGIN 1
FEEL 1
LIKE 3
CAN 1
MAKE 1
DIFFERENCE 1
WORLD 2
AS 1
FIND 1
SOLUTIONS 1
EVERYDAY 1
PROBLEMS 1
SOLVERS 1
WE 1
CREATE 1
TODAY 1
BECOME 1
FUTURE 1
D 1
KNOW 1
GIVEN 1
OPPORTUNITY 1
THINK 1
SCIENTIST 1
MATHEMATICIAN 1
DOCTOR 1
OR 1
ENGINEER 1
WILL 5
ONE 1
DAY 1
CONTRIBUTE 1
COUNTRY 1
GREAT 1
WAY 1
ENGAGE 1
STEM 2
ACTIVITIES 2
PROMOTE 1
DEDUCTIVE 1
REASONING 1
HIGHER 1
ORDER 1
THINKING 1
SKILLS 2
THEN 1
USED 1
WRITE 2
ABOUT 1
FINDINGS 1
ALLOW 2
PROPOSALS 1
CHANGE 1
LIVES 1
AROUND 1
CLASSROOM 1
ALSO 1
THROUGH 1
BOTH 1
INQUIRY 1
TRIAL 1
ERROR 1
=======
STUDENTS 8
IN 6
MY 4
CLASS 1
ARE 3
A 7
DIVERSE 1
BUNCH 1
OF 5
LEARNERS 1
WHO 2
HAVE 2
PASSIONATE 1
LOVE 1
LEARNING 3
I 3
SERVE 1
UNDER 1
WIDE 1
UMBRELLA 1
NEEDS 1
EMOTIONALLY 1
ACADEMICALLY 1
AND 9
FINANCIALLY 1
OUR 5
SCHOOL 2
IS 1
FREE 1
BREAKFAST 1
LUNCH 1
YET 1
EAGER 1
TO 13
BE 2
SUCCESSFUL 1
THEY 3
COME 1
WITH 1
WILLINGNESS 1
LEARN 2
ENJOY 1
BEYOND 1
THE 7
MEANS 1
PAPER 1
PENCIL 1
ALLOWING 1
ADVANTAGES 1
HANDS 1
ON 2
PROBLEM 3
BASED 1
GIVES 1
THEM 3
FREEDOM 1
TAP 1
INTO 1
THEIR 3
SOLVING 1
ABILITIES 1
THAT 3
OFTEN 1
UNSEEN 1
INTANGIBLE 1
MOST 1
ASSESSMENTS 1
THESE 2
BEGIN 1
FEEL 1
LIKE 3
CAN 1
MAKE 1
DIFFERENCE 1
WORLD 2
AS 1
FIND 1
SOLUTIONS 1
EVERYDAY 1
PROBLEMS 1
SOLVERS 1
WE 1
CREATE 1
TODAY 1
BECOME 1
FUTURE 1
D 1
KNOW 1
GIVEN 1
OPPORTUNITY 1
THINK 1
SCIENTIST 1
MATHEMATICIAN 1
DOCTOR 1
OR 1
ENGINEER 1
WILL 5
ONE 1
DAY 1
CONTRIBUTE 1
COUNTRY 1
GREAT 1
WAY 1
ENGAGE 1
STEM 2
ACTIVITIES 2
PROMOTE 1
DEDUCTIVE 1
REASONING 1
HIGHER 1
ORDER 1
THINKING 1
SKILLS 2
THEN 1
USED 1
WRITE 2
ABOUT 1
FINDINGS 1
ALLOW 2
PROPOSALS 1
CHANGE 1
LIVES 1
AROUND 1
CLASSROOM 1
ALSO 1
THROUGH 1
BOTH 1
INQUIRY 1
TRIAL 1
ERROR 1
>>>>>>> ce17cb87bc4ddebf2bd3fc00e94e3124cf1d5688
